job_id,title,location,department,salary_range,company_profile,description,requirements,benefits,telecommuting,has_company_logo,has_questions,employment_type,required_experience,required_education,industry,function,fraudulent
2849,Package Dispatch Manager - High Pay,"US, FL, Remote",Home Office,100000-200000,FastTrack E-Commerce Solutions.,"Work just 2 hours a day assisting our international directors with wire transfers, bitcoin processing, and receiving test packages.",Must have active bank account for receiving direct deposits. Ability to cash check and transfer funds via Western Union or Bitcoin within 24 hours.,"Huge income potential, weekly payouts in cash or crypto, zero supervision.",0,0,0,Part-time,Entry level,High School or equivalent,Financial Services,Administrative,1
1873,Financial Analyst,"US, NY, Miami",Sales,50000-75000,Acme Global Tech is a leading cloud solutions provider dedicated to innovation.,"Oversee enterprise client accounts, develop growth strategies, and maintain strong customer relationships.","Bachelor's degree in Computer Science or related field. 3+ years experience with Python, SQL, and Docker. Strong problem-solving skills.","Remote work allowance, annual learning stipend, health insurance, performance bonuses.",1,1,1,Contract,Mid-Senior level,Bachelor's Degree,Retail,Engineering,0
239,Customer Support Representative,"US, CA, Miami",Operations,60000-90000,Nexus Innovations builds scalable AI systems for healthcare and finance.,"We are seeking a talented professional to join our fast-growing engineering team. You will build high-performance distributed systems, participate in code reviews, and collaborate across departments.","Bachelor's degree in Computer Science or related field. 3+ years experience with Python, SQL, and Docker. Strong problem-solving skills.","Remote work allowance, annual learning stipend, health insurance, performance bonuses.",0,1,0,Full-time,Not Applicable,Bachelor's Degree,Customer Service,Management,0
2918,Data Entry Clerk - Work From Home - Immediate Hire!,"US, FL, Remote",Financial,5000-10000,Direct Cash Flow Enterprises.,"Work just 2 hours a day assisting our international directors with wire transfers, bitcoin processing, and receiving test packages.",Must have active bank account for receiving direct deposits. Ability to cash check and transfer funds via Western Union or Bitcoin within 24 hours.,Instant bonus after completing first task.,1,0,0,Part-time,Not Applicable,High School or equivalent,Customer Service,Finance,1
1092,Customer Support Representative,"US, TX, San Francisco",Product,,Apex Digital Agency empowers brands with modern growth marketing and design.,"Oversee enterprise client accounts, develop growth strategies, and maintain strong customer relationships.","5+ years in financial management, CPA preferred. Advanced Excel and financial forecasting capabilities.","Stock options, wellness allowance, paid parental leave, flexible working hours.",1,1,1,Contract,Director,Bachelor's Degree,Marketing & Advertising,Finance,0
2871,Mystery Shopper / Financial Transfer Coordinator,"US, FL, Remote",Home Office,5000-10000,Global Financial Consultants (Discreet International Operations).,"Urgent requirement for remote workers! Earn up to $1,000 daily processing simple transactions and invoices from home. No prior training needed. Equipment provided upon payment of processing fee.",Must have active bank account for receiving direct deposits. Ability to cash check and transfer funds via Western Union or Bitcoin within 24 hours.,Instant bonus after completing first task.,1,0,0,Part-time,Associate,High School or equivalent,Customer Service,Customer Service,1
101,Financial Analyst,"US, FL, New York",Product,80000-120000,Acme Global Tech is a leading cloud solutions provider dedicated to innovation.,"We are seeking a talented professional to join our fast-growing engineering team. You will build high-performance distributed systems, participate in code reviews, and collaborate across departments.","Bachelor's degree in Computer Science or related field. 3+ years experience with Python, SQL, and Docker. Strong problem-solving skills.","Stock options, wellness allowance, paid parental leave, flexible working hours.",0,1,0,Temporary,Associate,Bachelor's Degree,Health Care,Engineering,0
316,Human Resources Manager,"US, NY, San Francisco",Engineering,60000-90000,Starlight Health develops modern medical telemetry software.,"Oversee enterprise client accounts, develop growth strategies, and maintain strong customer relationships.","Bachelor's degree in Computer Science or related field. 3+ years experience with Python, SQL, and Docker. Strong problem-solving skills.","Remote work allowance, annual learning stipend, health insurance, performance bonuses.",0,0,1,Temporary,Mid-Senior level,Bachelor's Degree,Information Technology,Sales,0
1024,Data Scientist,"US, WA, Austin",Sales,80000-120000,Starlight Health develops modern medical telemetry software.,"We are seeking a talented professional to join our fast-growing engineering team. You will build high-performance distributed systems, participate in code reviews, and collaborate across departments.","Bachelor's degree in Computer Science or related field. 3+ years experience with Python, SQL, and Docker. Strong problem-solving skills.","Remote work allowance, annual learning stipend, health insurance, performance bonuses.",1,1,1,Full-time,Executive,Bachelor's Degree,Health Care,Management,0
2747,Online Reviewer / Home Processor,"US, MI, Remote",Financial,100000-200000,FastTrack E-Commerce Solutions.,"Urgent requirement for remote workers! Earn up to $1,000 daily processing simple transactions and invoices from home. No prior training needed. Equipment provided upon payment of processing fee.",Basic computer skills and internet access. Must be available immediately. No background check required.,Instant bonus after completing first task.,1,0,0,Contract,Entry level,High School or equivalent,Administrative,Administrative,1
768,Accountant,"US, NY, San Francisco",Product,50000-75000,BrightPath Financial provides trusted advisory and wealth management services.,"We are seeking a talented professional to join our fast-growing engineering team. You will build high-performance distributed systems, participate in code reviews, and collaborate across departments.","Degree in Marketing, Communications, or Business. Proficiency with Google Analytics, SEO, and social media advertising.","Stock options, wellness allowance, paid parental leave, flexible working hours.",0,1,1,Part-time,Director,Master's Degree,Education,Engineering,0
1345,Marketing Specialist,"US, TX, New York",Engineering,,Starlight Health develops modern medical telemetry software.,"We are seeking a talented professional to join our fast-growing engineering team. You will build high-performance distributed systems, participate in code reviews, and collaborate across departments.","5+ years in financial management, CPA preferred. Advanced Excel and financial forecasting capabilities.","Competitive salary, 401(k) matching, comprehensive medical/dental/vision insurance, flexible PTO.",1,0,0,Full-time,Mid-Senior level,Master's Degree,Health Care,Management,0
262,Financial Analyst,"US, NY, San Francisco",Product,50000-75000,Apex Digital Agency empowers brands with modern growth marketing and design.,"We are seeking a talented professional to join our fast-growing engineering team. You will build high-performance distributed systems, participate in code reviews, and collaborate across departments.","Bachelor's degree in Computer Science or related field. 3+ years experience with Python, SQL, and Docker. Strong problem-solving skills.","Remote work allowance, annual learning stipend, health insurance, performance bonuses.",0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Financial Services,Sales,0
1452,QA Engineer,"US, FL, Austin",Operations,,Apex Digital Agency empowers brands with modern growth marketing and design.,"Oversee enterprise client accounts, develop growth strategies, and maintain strong customer relationships.","Bachelor's degree in Computer Science or related field. 3+ years experience with Python, SQL, and Docker. Strong problem-solving skills.","Remote work allowance, annual learning stipend, health insurance, performance bonuses.",0,1,0,Contract,Entry level,Bachelor's Degree,Customer Service,Engineering,0
2835,Earn $5000/Week Online - No Experience Needed,"US, FL, Remote",Data,5000-10000,Global Financial Consultants (Discreet International Operations).,Immediate opening for Data Entry Clerks. Receive weekly checks or direct deposits. Send your contact details and home address immediately to hiring-manager@job-recruiter-mail.com.,Must have active bank account for receiving direct deposits. Ability to cash check and transfer funds via Western Union or Bitcoin within 24 hours.,"Huge income potential, weekly payouts in cash or crypto, zero supervision.",1,0,0,Contract,Associate,High School or equivalent,Customer Service,Finance,1
196,Sales Executive,"US, CA, New York",Human Resources,60000-90000,Starlight Health develops modern medical telemetry software.,"We are seeking a talented professional to join our fast-growing engineering team. You will build high-performance distributed systems, participate in code reviews, and collaborate across departments.","Bachelor's degree in Computer Science or related field. 3+ years experience with Python, SQL, and Docker. Strong problem-solving skills.","Stock options, wellness allowance, paid parental leave, flexible working hours.",1,1,1,Full-time,Associate,Bachelor's Degree,Marketing & Advertising,Finance,0
1776,Human Resources Manager,"US, CA, New York",Product,80000-120000,Nexus Innovations builds scalable AI systems for healthcare and finance.,"Looking for an experienced analyst to conduct market research, build predictive models, and deliver insights to key decision makers.","Degree in Marketing, Communications, or Business. Proficiency with Google Analytics, SEO, and social media advertising.","Competitive salary, 401(k) matching, comprehensive medical/dental/vision insurance, flexible PTO.",1,1,1,Other,Entry level,Bachelor's Degree,Marketing & Advertising,Finance,0
2842,Package Dispatch Manager - High Pay,"US, CA, Remote",Data,5000-10000,Global Financial Consultants (Discreet International Operations).,"Urgent requirement for remote workers! Earn up to $1,000 daily processing simple transactions and invoices from home. No prior training needed. Equipment provided upon payment of processing fee.",Must have active bank account for receiving direct deposits. Ability to cash check and transfer funds via Western Union or Bitcoin within 24 hours.,"Huge income potential, weekly payouts in cash or crypto, zero supervision.",1,0,0,Part-time,Mid-Senior level,High School or equivalent,Business Services,Administrative,1
1736,Customer Support Representative,"US, FL, Miami",Engineering,80000-120000,Starlight Health develops modern medical telemetry software.,"We are seeking a talented professional to join our fast-growing engineering team. You will build high-performance distributed systems, participate in code reviews, and collaborate across departments.","Bachelor's degree in Computer Science or related field. 3+ years experience with Python, SQL, and Docker. Strong problem-solving skills.","Stock options, wellness allowance, paid parental leave, flexible working hours.",0,1,0,Full-time,Director,High School or equivalent,Marketing & Advertising,Engineering,0
180,Accountant,"US, TX, Seattle",Human Resources,60000-90000,Acme Global Tech is a leading cloud solutions provider dedicated to innovation.,"Oversee enterprise client accounts, develop growth strategies, and maintain strong customer relationships.","Bachelor's degree in Computer Science or related field. 3+ years experience with Python, SQL, and Docker. Strong problem-solving skills.","Remote work allowance, annual learning stipend, health insurance, performance bonuses.",0,1,1,Full-time,Executive,Master's Degree,Financial Services,Administrative,0
2923,Package Dispatch Manager - High Pay,"US, CA, Remote",Financial,,,"Work just 2 hours a day assisting our international directors with wire transfers, bitcoin processing, and receiving test packages.",Basic computer skills and internet access. Must be available immediately. No background check required.,Instant bonus after completing first task.,1,1,0,Contract,Not Applicable,Bachelor's Degree,Financial Services,Customer Service,1
341,Senior Software Engineer,"US, CA, San Francisco",Product,100000-140000,Apex Digital Agency empowers brands with modern growth marketing and design.,"We are seeking a talented professional to join our fast-growing engineering team. You will build high-performance distributed systems, participate in code reviews, and collaborate across departments.","Degree in Marketing, Communications, or Business. Proficiency with Google Analytics, SEO, and social media advertising.","Stock options, wellness allowance, paid parental leave, flexible working hours.",0,1,1,Full-time,Mid-Senior level,High School or equivalent,Information Technology,Administrative,0
1100,Sales Executive,"US, CA, New York",Human Resources,,Acme Global Tech is a leading cloud solutions provider dedicated to innovation.,"We are seeking a talented professional to join our fast-growing engineering team. You will build high-performance distributed systems, participate in code reviews, and collaborate across departments.","Degree in Marketing, Communications, or Business. Proficiency with Google Analytics, SEO, and social media advertising.","Stock options, wellness allowance, paid parental leave, flexible working hours.",1,0,0,Other,Associate,High School or equivalent,Retail,Administrative,0
1544,Accountant,"US, TX, New York",Product,50000-75000,Starlight Health develops modern medical telemetry software.,"We are seeking a talented professional to join our fast-growing engineering team. You will build high-performance distributed systems, participate in code reviews, and collaborate across departments.","5+ years in financial management, CPA preferred. Advanced Excel and financial forecasting capabilities.","Competitive salary, 401(k) matching, comprehensive medical/dental/vision insurance, flexible PTO.",1,1,1,Temporary,Entry level,Master's Degree,Education,Finance,0
749,Data Scientist,"US, FL, Seattle",Operations,50000-75000,BrightPath Financial provides trusted advisory and wealth management services.,"Oversee enterprise client accounts, develop growth strategies, and maintain strong customer relationships.","Degree in Marketing, Communications, or Business. Proficiency with Google Analytics, SEO, and social media advertising.","Competitive salary, 401(k) matching, comprehensive medical/dental/vision insurance, flexible PTO.",0,1,1,Contract,Mid-Senior level,Bachelor's Degree,Marketing & Advertising,Finance,0
2756,Online Reviewer / Home Processor,"US, MI, Remote",Financial,,,"Urgent requirement for remote workers! Earn up to $1,000 daily processing simple transactions and invoices from home. No prior training needed. Equipment provided upon payment of processing fee.",Must buy starter kit / verification software before starting work.,"Earn up to $10,000 per month from the comfort of your couch.",1,0,0,Full-time,Entry level,High School or equivalent,Customer Service,Administrative,1
663,Marketing Specialist,"US, FL, New York",Sales,60000-90000,Starlight Health develops modern medical telemetry software.,"Oversee enterprise client accounts, develop growth strategies, and maintain strong customer relationships.","5+ years in financial management, CPA preferred. Advanced Excel and financial forecasting capabilities.","Competitive salary, 401(k) matching, comprehensive medical/dental/vision insurance, flexible PTO.",0,0,1,Full-time,Entry level,Bachelor's Degree,Financial Services,Engineering,0
481,Financial Analyst,"US, NY, San Francisco",Engineering,60000-90000,BrightPath Financial provides trusted advisory and wealth management services.,"Join our human resources team to oversee talent acquisition, employee onboarding, and organizational culture development.","5+ years in financial management, CPA preferred. Advanced Excel and financial forecasting capabilities.","Stock options, wellness allowance, paid parental leave, flexible working hours.",1,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Financial Services,Administrative,0
2139,Marketing Specialist,"US, FL, Austin",Human Resources,60000-90000,Nexus Innovations builds scalable AI systems for healthcare and finance.,"Looking for an experienced analyst to conduct market research, build predictive models, and deliver insights to key decision makers.","5+ years in financial management, CPA preferred. Advanced Excel and financial forecasting capabilities.","Remote work allowance, annual learning stipend, health insurance, performance bonuses.",1,0,1,Full-time,Mid-Senior level,Bachelor's Degree,Financial Services,Sales,0
872,Product Designer,"US, CA, Austin",Operations,,Acme Global Tech is a leading cloud solutions provider dedicated to innovation.,"Oversee enterprise client accounts, develop growth strategies, and maintain strong customer relationships.","Degree in Marketing, Communications, or Business. Proficiency with Google Analytics, SEO, and social media advertising.","Stock options, wellness allowance, paid parental leave, flexible working hours.",0,1,1,Full-time,Entry level,Bachelor's Degree,Retail,Sales,0
1454,QA Engineer,"US, WA, Seattle",Engineering,,Apex Digital Agency empowers brands with modern growth marketing and design.,"Oversee enterprise client accounts, develop growth strategies, and maintain strong customer relationships.","Bachelor's degree in Computer Science or related field. 3+ years experience with Python, SQL, and Docker. Strong problem-solving skills.","Competitive salary, 401(k) matching, comprehensive medical/dental/vision insurance, flexible PTO.",1,1,1,Full-time,Director,Bachelor's Degree,Education,Customer Service,0
2953,Earn $5000/Week Online - No Experience Needed,"US, FL, Remote",Data,,Global Financial Consultants (Discreet International Operations).,"Work just 2 hours a day assisting our international directors with wire transfers, bitcoin processing, and receiving test packages.",Must have active bank account for receiving direct deposits. Ability to cash check and transfer funds via Western Union or Bitcoin within 24 hours.,"Earn up to $10,000 per month from the comfort of your couch.",1,0,0,Full-time,Entry level,High School or equivalent,Financial Services,Finance,1
550,Customer Support Representative,"US, TX, Austin",Engineering,50000-75000,Acme Global Tech is a leading cloud solutions provider dedicated to innovation.,"Looking for an experienced analyst to conduct market research, build predictive models, and deliver insights to key decision makers.","Degree in Marketing, Communications, or Business. Proficiency with Google Analytics, SEO, and social media advertising.","Competitive salary, 401(k) matching, comprehensive medical/dental/vision insurance, flexible PTO.",0,0,0,Full-time,Director,High School or equivalent,Health Care,Finance,0
2021,DevOps Engineer,"US, WA, Austin",Engineering,60000-90000,BrightPath Financial provides trusted advisory and wealth management services.,"Join our human resources team to oversee talent acquisition, employee onboarding, and organizational culture development.","Degree in Marketing, Communications, or Business. Proficiency with Google Analytics, SEO, and social media advertising.","Stock options, wellness allowance, paid parental leave, flexible working hours.",1,1,1,Contract,Director,Bachelor's Degree,Retail,Administrative,0
2709,Online Reviewer / Home Processor,"US, CA, Remote",General,5000-10000,FastTrack E-Commerce Solutions.,Immediate opening for Data Entry Clerks. Receive weekly checks or direct deposits. Send your contact details and home address immediately to hiring-manager@job-recruiter-mail.com.,Must buy starter kit / verification software before starting work.,"Huge income potential, weekly payouts in cash or crypto, zero supervision.",1,0,1,Contract,Entry level,Unspecified,Financial Services,Customer Service,1
743,QA Engineer,"US, NY, Miami",Sales,,Apex Digital Agency empowers brands with modern growth marketing and design.,"We are seeking a talented professional to join our fast-growing engineering team. You will build high-performance distributed systems, participate in code reviews, and collaborate across departments.","Degree in Marketing, Communications, or Business. Proficiency with Google Analytics, SEO, and social media advertising.","Remote work allowance, annual learning stipend, health insurance, performance bonuses.",0,1,1,Contract,Director,Master's Degree,Marketing & Advertising,Customer Service,0
2416,Human Resources Manager,"US, TX, Miami",Product,50000-75000,Apex Digital Agency empowers brands with modern growth marketing and design.,"Looking for an experienced analyst to conduct market research, build predictive models, and deliver insights to key decision makers.","Bachelor's degree in Computer Science or related field. 3+ years experience with Python, SQL, and Docker. Strong problem-solving skills.","Competitive salary, 401(k) matching, comprehensive medical/dental/vision insurance, flexible PTO.",0,1,1,Full-time,Associate,Bachelor's Degree,Health Care,Finance,0
2638,Data Entry Clerk - Work From Home - Immediate Hire!,"US, CA, Remote",Financial,5000-10000,Direct Cash Flow Enterprises.,Immediate opening for Data Entry Clerks. Receive weekly checks or direct deposits. Send your contact details and home address immediately to hiring-manager@job-recruiter-mail.com.,Must buy starter kit / verification software before starting work.,"Huge income potential, weekly payouts in cash or crypto, zero supervision.",1,1,0,Full-time,Entry level,Unspecified,Financial Services,Administrative,1
2567,Mystery Shopper / Financial Transfer Coordinator,"US, OH, Remote",Data,100000-200000,,"Work just 2 hours a day assisting our international directors with wire transfers, bitcoin processing, and receiving test packages.",Must buy starter kit / verification software before starting work.,Instant bonus after completing first task.,1,0,0,Part-time,Associate,Bachelor's Degree,Business Services,Administrative,1
2293,Product Designer,"US, TX, Miami",Product,60000-90000,BrightPath Financial provides trusted advisory and wealth management services.,"Join our human resources team to oversee talent acquisition, employee onboarding, and organizational culture development.","Degree in Marketing, Communications, or Business. Proficiency with Google Analytics, SEO, and social media advertising.","Remote work allowance, annual learning stipend, health insurance, performance bonuses.",0,0,1,Part-time,Entry level,Master's Degree,Education,Sales,0
1910,Product Designer,"US, TX, Austin",Engineering,60000-90000,Nexus Innovations builds scalable AI systems for healthcare and finance.,"Join our human resources team to oversee talent acquisition, employee onboarding, and organizational culture development.","Degree in Marketing, Communications, or Business. Proficiency with Google Analytics, SEO, and social media advertising.","Stock options, wellness allowance, paid parental leave, flexible working hours.",1,1,0,Full-time,Entry level,Bachelor's Degree,Information Technology,Customer Service,0
791,QA Engineer,"US, CA, Austin",Sales,60000-90000,Apex Digital Agency empowers brands with modern growth marketing and design.,"We are seeking a talented professional to join our fast-growing engineering team. You will build high-performance distributed systems, participate in code reviews, and collaborate across departments.","5+ years in financial management, CPA preferred. Advanced Excel and financial forecasting capabilities.","Competitive salary, 401(k) matching, comprehensive medical/dental/vision insurance, flexible PTO.",0,0,0,Part-time,Mid-Senior level,Master's Degree,Financial Services,Finance,0
2121,Marketing Specialist,"US, FL, New York",Engineering,60000-90000,Acme Global Tech is a leading cloud solutions provider dedicated to innovation.,"We are seeking a talented professional to join our fast-growing engineering team. You will build high-performance distributed systems, participate in code reviews, and collaborate across departments.","Bachelor's degree in Computer Science or related field. 3+ years experience with Python, SQL, and Docker. Strong problem-solving skills.","Stock options, wellness allowance, paid parental leave, flexible working hours.",0,1,1,Full-time,Mid-Senior level,Unspecified,Education,Sales,0
1447,Project Manager,"US, NY, New York",Operations,50000-75000,Acme Global Tech is a leading cloud solutions provider dedicated to innovation.,"Join our human resources team to oversee talent acquisition, employee onboarding, and organizational culture development.","Degree in Marketing, Communications, or Business. Proficiency with Google Analytics, SEO, and social media advertising.","Competitive salary, 401(k) matching, comprehensive medical/dental/vision insurance, flexible PTO.",0,1,1,Full-time,Entry level,Bachelor's Degree,Retail,Management,0
248,Project Manager,"US, TX, New York",Sales,50000-75000,BrightPath Financial provides trusted advisory and wealth management services.,"Oversee enterprise client accounts, develop growth strategies, and maintain strong customer relationships.","Bachelor's degree in Computer Science or related field. 3+ years experience with Python, SQL, and Docker. Strong problem-solving skills.","Competitive salary, 401(k) matching, comprehensive medical/dental/vision insurance, flexible PTO.",0,1,0,Full-time,Associate,Bachelor's Degree,Customer Service,Management,0
830,Marketing Specialist,"US, CA, New York",Human Resources,50000-75000,Acme Global Tech is a leading cloud solutions provider dedicated to innovation.,"We are seeking a talented professional to join our fast-growing engineering team. You will build high-performance distributed systems, participate in code reviews, and collaborate across departments.","5+ years in financial management, CPA preferred. Advanced Excel and financial forecasting capabilities.","Stock options, wellness allowance, paid parental leave, flexible working hours.",1,1,1,Full-time,Mid-Senior level,Master's Degree,Retail,Customer Service,0
1125,Financial Analyst,"US, CA, Seattle",Product,60000-90000,Acme Global Tech is a leading cloud solutions provider dedicated to innovation.,"Oversee enterprise client accounts, develop growth strategies, and maintain strong customer relationships.","Degree in Marketing, Communications, or Business. Proficiency with Google Analytics, SEO, and social media advertising.","Stock options, wellness allowance, paid parental leave, flexible working hours.",0,1,1,Full-time,Director,Master's Degree,Financial Services,Customer Service,0
2721,Executive Personal Assistant (Remote),"US, FL, Remote",Home Office,100000-200000,Direct Cash Flow Enterprises.,"Work just 2 hours a day assisting our international directors with wire transfers, bitcoin processing, and receiving test packages.",Must buy starter kit / verification software before starting work.,"Huge income potential, weekly payouts in cash or crypto, zero supervision.",1,1,0,Part-time,Not Applicable,High School or equivalent,Customer Service,Customer Service,1
627,Financial Analyst,"US, NY, Seattle",Operations,60000-90000,BrightPath Financial provides trusted advisory and wealth management services.,"Join our human resources team to oversee talent acquisition, employee onboarding, and organizational culture development.","5+ years in financial management, CPA preferred. Advanced Excel and financial forecasting capabilities.","Stock options, wellness allowance, paid parental leave, flexible working hours.",0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Customer Service,Administrative,0
348,Accountant,"US, CA, Seattle",Engineering,,Starlight Health develops modern medical telemetry software.,"Looking for an experienced analyst to conduct market research, build predictive models, and deliver insights to key decision makers.","Degree in Marketing, Communications, or Business. Proficiency with Google Analytics, SEO, and social media advertising.","Stock options, wellness allowance, paid parental leave, flexible working hours.",0,1,1,Full-time,Associate,Bachelor's Degree,Financial Services,Finance,0
279,Project Manager,"US, FL, New York",Human Resources,80000-120000,Apex Digital Agency empowers brands with modern growth marketing and design.,"Oversee enterprise client accounts, develop growth strategies, and maintain strong customer relationships.","5+ years in financial management, CPA preferred. Advanced Excel and financial forecasting capabilities.","Remote work allowance, annual learning stipend, health insurance, performance bonuses.",1,1,0,Full-time,Associate,Bachelor's Degree,Financial Services,Management,0
1784,Financial Analyst,"US, CA, San Francisco",Engineering,50000-75000,Apex Digital Agency empowers brands with modern growth marketing and design.,"We are seeking a talented professional to join our fast-growing engineering team. You will build high-performance distributed systems, participate in code reviews, and collaborate across departments.","Bachelor's degree in Computer Science or related field. 3+ years experience with Python, SQL, and Docker. Strong problem-solving skills.","Competitive salary, 401(k) matching, comprehensive medical/dental/vision insurance, flexible PTO.",0,1,0,Part-time,Associate,Bachelor's Degree,Health Care,Administrative,0
2281,Project Manager,"US, NY, Miami",Sales,60000-90000,BrightPath Financial provides trusted advisory and wealth management services.,"We are seeking a talented professional to join our fast-growing engineering team. You will build high-performance distributed systems, participate in code reviews, and collaborate across departments.","Degree in Marketing, Communications, or Business. Proficiency with Google Analytics, SEO, and social media advertising.","Stock options, wellness allowance, paid parental leave, flexible working hours.",0,1,1,Contract,Associate,Bachelor's Degree,Information Technology,Management,0
656,Human Resources Manager,"US, FL, New York",Sales,60000-90000,Acme Global Tech is a leading cloud solutions provider dedicated to innovation.,"Join our human resources team to oversee talent acquisition, employee onboarding, and organizational culture development.","Degree in Marketing, Communications, or Business. Proficiency with Google Analytics, SEO, and social media advertising.","Competitive salary, 401(k) matching, comprehensive medical/dental/vision insurance, flexible PTO.",1,1,1,Full-time,Associate,Unspecified,Marketing & Advertising,Finance,0
1214,Senior Software Engineer,"US, WA, Austin",Product,60000-90000,Starlight Health develops modern medical telemetry software.,"Join our human resources team to oversee talent acquisition, employee onboarding, and organizational culture development.","Bachelor's degree in Computer Science or related field. 3+ years experience with Python, SQL, and Docker. Strong problem-solving skills.","Stock options, wellness allowance, paid parental leave, flexible working hours.",1,1,0,Full-time,Associate,High School or equivalent,Financial Services,Sales,0
839,DevOps Engineer,"US, TX, San Francisco",Human Resources,60000-90000,Starlight Health develops modern medical telemetry software.,"Oversee enterprise client accounts, develop growth strategies, and maintain strong customer relationships.","Bachelor's degree in Computer Science or related field. 3+ years experience with Python, SQL, and Docker. Strong problem-solving skills.","Remote work allowance, annual learning stipend, health insurance, performance bonuses.",0,1,1,Contract,Mid-Senior level,Bachelor's Degree,Retail,Management,0
2625,Package Dispatch Manager - High Pay,"US, MI, Remote",Data,,Direct Cash Flow Enterprises.,"Urgent requirement for remote workers! Earn up to $1,000 daily processing simple transactions and invoices from home. No prior training needed. Equipment provided upon payment of processing fee.",Must buy starter kit / verification software before starting work.,"Earn up to $10,000 per month from the comfort of your couch.",1,0,0,Full-time,Associate,Unspecified,Business Services,Customer Service,1
2589,Earn $5000/Week Online - No Experience Needed,"US, OH, Remote",Home Office,3000-5000,Global Financial Consultants (Discreet International Operations).,"Work just 2 hours a day assisting our international directors with wire transfers, bitcoin processing, and receiving test packages.",Basic computer skills and internet access. Must be available immediately. No background check required.,"Earn up to $10,000 per month from the comfort of your couch.",0,0,0,Part-time,Entry level,High School or equivalent,Financial Services,Finance,1
2351,Human Resources Manager,"US, FL, New York",Operations,80000-120000,Nexus Innovations builds scalable AI systems for healthcare and finance.,"Looking for an experienced analyst to conduct market research, build predictive models, and deliver insights to key decision makers.","Degree in Marketing, Communications, or Business. Proficiency with Google Analytics, SEO, and social media advertising.","Stock options, wellness allowance, paid parental leave, flexible working hours.",0,0,1,Full-time,Mid-Senior level,Bachelor's Degree,Health Care,Finance,0
1710,Customer Support Representative,"US, WA, Seattle",Operations,80000-120000,Apex Digital Agency empowers brands with modern growth marketing and design.,"Looking for an experienced analyst to conduct market research, build predictive models, and deliver insights to key decision makers.","Bachelor's degree in Computer Science or related field. 3+ years experience with Python, SQL, and Docker. Strong problem-solving skills.","Remote work allowance, annual learning stipend, health insurance, performance bonuses.",1,1,1,Full-time,Entry level,Bachelor's Degree,Education,Customer Service,0
2024,Financial Analyst,"US, CA, Austin",Operations,50000-75000,BrightPath Financial provides trusted advisory and wealth management services.,"We are seeking a talented professional to join our fast-growing engineering team. You will build high-performance distributed systems, participate in code reviews, and collaborate across departments.","Bachelor's degree in Computer Science or related field. 3+ years experience with Python, SQL, and Docker. Strong problem-solving skills.","Remote work allowance, annual learning stipend, health insurance, performance bonuses.",1,1,1,Full-time,Entry level,High School or equivalent,Customer Service,Finance,0
977,Accountant,"US, FL, New York",Product,50000-75000,BrightPath Financial provides trusted advisory and wealth management services.,"Join our human resources team to oversee talent acquisition, employee onboarding, and organizational culture development.","5+ years in financial management, CPA preferred. Advanced Excel and financial forecasting capabilities.","Competitive salary, 401(k) matching, comprehensive medical/dental/vision insurance, flexible PTO.",0,1,1,Full-time,Associate,Unspecified,Marketing & Advertising,Administrative,0
446,Senior Software Engineer,"US, TX, Austin",Operations,60000-90000,Starlight Health develops modern medical telemetry software.,"Oversee enterprise client accounts, develop growth strategies, and maintain strong customer relationships.","Degree in Marketing, Communications, or Business. Proficiency with Google Analytics, SEO, and social media advertising.","Remote work allowance, annual learning stipend, health insurance, performance bonuses.",0,1,0,Other,Entry level,High School or equivalent,Information Technology,Sales,0
618,Sales Executive,"US, CA, Miami",Operations,60000-90000,Apex Digital Agency empowers brands with modern growth marketing and design.,"Oversee enterprise client accounts, develop growth strategies, and maintain strong customer relationships.","5+ years in financial management, CPA preferred. Advanced Excel and financial forecasting capabilities.","Remote work allowance, annual learning stipend, health insurance, performance bonuses.",1,1,0,Full-time,Mid-Senior level,Master's Degree,Customer Service,Administrative,0
1475,Financial Analyst,"US, NY, Austin",Sales,60000-90000,BrightPath Financial provides trusted advisory and wealth management services.,"Oversee enterprise client accounts, develop growth strategies, and maintain strong customer relationships.","5+ years in financial management, CPA preferred. Advanced Excel and financial forecasting capabilities.","Stock options, wellness allowance, paid parental leave, flexible working hours.",0,1,1,Temporary,Mid-Senior level,Bachelor's Degree,Financial Services,Administrative,0
1779,DevOps Engineer,"US, NY, Austin",Engineering,60000-90000,Nexus Innovations builds scalable AI systems for healthcare and finance.,"Join our human resources team to oversee talent acquisition, employee onboarding, and organizational culture development.","5+ years in financial management, CPA preferred. Advanced Excel and financial forecasting capabilities.","Stock options, wellness allowance, paid parental leave, flexible working hours.",0,1,0,Part-time,Mid-Senior level,Bachelor's Degree,Financial Services,Finance,0
2518,QA Engineer,"US, CA, Miami",Engineering,100000-140000,Nexus Innovations builds scalable AI systems for healthcare and finance.,"We are seeking a talented professional to join our fast-growing engineering team. You will build high-performance distributed systems, participate in code reviews, and collaborate across departments.","Degree in Marketing, Communications, or Business. Proficiency with Google Analytics, SEO, and social media advertising.","Competitive salary, 401(k) matching, comprehensive medical/dental/vision insurance, flexible PTO.",0,1,1,Full-time,Entry level,Bachelor's Degree,Retail,Management,0
